# phi u uprime x y
17.575 1 0 0.291926 -0.956441
17.625 1 0 0.339364 -0.940655
17.675 1 0 0.385953 -0.922519
17.725 1 0 0.431577 -0.902076
17.775 1 0 0.476123 -0.879379
17.825 1 0 0.519478 -0.854484
17.875 1 0 0.561536 -0.827453
17.925 1 0 0.602189 -0.798353
17.975 1 0 0.641338 -0.767259
18.025 1 0 0.678883 -0.734246
18.075 1 0 0.714732 -0.699399
18.125 1 0 0.748794 -0.662803
18.175 1 0 0.780984 -0.624551
18.225 1 0 0.811223 -0.584737
18.275 1 0 0.839434 -0.543462
18.325 1 0 0.865546 -0.500829
18.375 1 0 0.889496 -0.456943
18.425 1 0 0.911222 -0.411916
18.475 1 0 0.93067 -0.365859
18.525 1 0 0.947792 -0.318888
18.575 1 0 0.962546 -0.27112
18.625 1 0 0.974893 -0.222673
18.675 1 0 0.984804 -0.173671
18.725 1 0 0.992253 -0.124234
18.775 1 0 0.997222 -0.0744869
18.825 1 0 0.999699 -0.0245535
18.875 1 0 0.999676 0.0254413
18.925 1 0 0.997155 0.0753725
18.975 1 0 0.992142 0.125115
19.025 1 0 0.984649 0.174545
19.075 1 0 0.974695 0.223539
19.125 1 0 0.962305 0.271974
19.175 1 0 0.947509 0.31973
19.225 1 0 0.930345 0.366686
19.275 1 0 0.910856 0.412725
19.325 1 0 0.88909 0.457733
19.375 1 0 0.865101 0.501597
19.425 1 0 0.838951 0.544207
19.475 1 0 0.810703 0.585457
19.525 1 0 0.780429 0.625244
19.575 1 0 0.748205 0.663468
19.625 1 0 0.71411 0.700033
19.675 1 0 0.678231 0.734849
19.725 1 0 0.640656 0.767828
19.775 1 0 0.60148 0.798888
19.825 1 0 0.5608 0.827951
19.875 1 0 0.518719 0.854945
19.925 1 0 0.475342 0.879801
19.975 1 0 0.430776 0.902459
20.025 1 0 0.385133 0.922861
20.075 1 0 0.338528 0.940956
20.125 1 0 0.291077 0.9567
20.175 1 0 0.242898 0.970052
20.225 1 0 0.194112 0.980979
20.275 1 0 0.144841 0.989455
20.325 1 0 0.0952078 0.995457
20.375 1 0 0.0453367 0.998972
20.425 1 0 -0.00464773 0.999989
20.475 1 0 -0.0546206 0.998507
20.525 1 0 -0.104457 0.994529
20.575 1 0 -0.154032 0.988066
20.625 1 0 -0.203222 0.979133
20.675 1 0 -0.251905 0.967752
20.725 1 0 -0.299957 0.953953
20.775 1 0 -0.34726 0.937769
20.825 1 0 -0.393695 0.919241
20.875 1 0 -0.439146 0.898416
20.925 1 0 -0.483499 0.875345
20.975 1 0 -0.526644 0.850086
21.025 1 0 -0.568472 0.822702
21.075 1 0 -0.60888 0.793262
21.125 1 0 -0.647766 0.76184
21.175 1 0 -0.685032 0.728513
21.225 1 0 -0.720586 0.693365
21.275 1 0 -0.75434 0.656484
21.325 1 0 -0.786208 0.617963
21.375 1 0 -0.81611 0.577896
21.425 1 0 -0.843973 0.536386
21.475 1 0 -0.869726 0.493534
21.525 1 0 -0.893306 0.449449
21.575 1 0 -0.914653 0.404241
21.625 1 0 -0.933713 0.358022
21.675 1 0 -0.95044 0.310908
21.725 1 0 -0.964791 0.263018
21.775 1 0 -0.976731 0.214469
21.825 1 0 -0.986229 0.165385
21.875 1 0 -0.993262 0.115888
21.925 1 0 -0.997813 0.0661003
21.975 1 0 -0.99987 0.0161479
22.025 1 0 -0.999427 -0.033845
22.075 1 0 -0.996487 -0.0837532
22.125 1 0 -0.991055 -0.133452
22.175 1 0 -0.983147 -0.182817
22.225 1 0 -0.972781 -0.231726
22.275 1 0 -0.959984 -0.280055
22.325 1 0 -0.944787 -0.327684
22.375 1 0 -0.927229 -0.374494
22.425 1 0 -0.907353 -0.420369
22.475 1 0 -0.88521 -0.465192
22.525 1 0 -0.860854 -0.508853
22.575 1 0 -0.834346 -0.551241
22.625 1 0 -0.805752 -0.592252
