# x target network target_derivative network_derivative target_second_derivative network_second_derivative network_antiderivative
-0.08 0.168883 0.215047 4.92284 5.37506 -2.98885 2.75759 -0.195576
-0.07 0.217936 0.2689 4.88528 5.39217 -4.52067 0.657653 -0.193157
-0.06 0.266538 0.322819 4.83246 5.38808 -6.04056 -1.47923 -0.190198
-0.05 0.314535 0.37659 4.76453 5.3625 -7.54269 -3.6406 -0.186701
-0.04 0.361778 0.429997 4.68169 5.31523 -9.02126 -5.81366 -0.182668
-0.03 0.40812 0.482822 4.5842 5.24623 -10.4706 -7.98534 -0.178103
-0.02 0.453415 0.534849 4.47239 5.15558 -11.8851 -10.1424 -0.173014
-0.01 0.497521 0.585862 4.34663 5.04348 -13.2594 -12.2717 -0.167409
0 0.540302 0.635649 4.20735 4.91028 -14.5882 -14.3601 -0.161301
0.01 0.581625 0.683999 4.05504 4.75646 -15.8663 -16.3944 -0.154701
0.02 0.621361 0.730711 3.89021 4.58261 -17.089 -18.3621 -0.147626
0.03 0.659389 0.775587 3.71346 4.38948 -18.2515 -20.2507 -0.140093
0.04 0.695593 0.818439 3.5254 4.1779 -19.3495 -22.0486 -0.132121
0.05 0.729862 0.859087 3.3267 3.94885 -20.3789 -23.7444 -0.123732
0.06 0.762094 0.897361 3.11806 3.70339 -21.3358 -25.3276 -0.114947
0.07 0.792193 0.933104 2.90023 3.4427 -22.2168 -26.7884 -0.105793
0.08 0.82007 0.966169 2.67399 3.16806 -23.0186 -28.1179 -0.0962941
0.09 0.845647 0.996423 2.44014 2.88081 -23.7383 -29.3081 -0.0864787
0.1 0.86885 1.02375 2.19951 2.58238 -24.3735 -30.3519 -0.0763754
0.11 0.889617 1.04804 1.95296 2.27428 -24.922 -31.2435 -0.0660139
0.12 0.907893 1.06921 1.70136 1.95804 -25.3821 -31.9778 -0.055425
0.13 0.923631 1.08718 1.44561 1.63526 -25.7522 -32.5511 -0.0446404
0.14 0.936794 1.10189 1.18662 1.30756 -26.0314 -32.9607 -0.0336923
0.15 0.947355 1.11332 0.925291 0.976594 -26.219 -33.2053 -0.0226135
